'annuary_id','module'
4360,'BR|16|1|__|05|8'
4360,'D|P|26|7|MI|15|_'
4360,'D|P|28|7|MI|15|_'
4360,'D|P|29|3|MI|15|_'
4379,'BD|16|A|OA|__|8'
4379,'D|P|26|7|GR|04|_'
4379,'D|P|28|7|PU|25|_'
4379,'D|P|29|3|PU|25|_'
4379,'S|P|30|7|PU|__|_'
4380,'D|S|26|7|SL|18|_'
4381,'D|S|26|7|PU|09|_'
4382,'D|S|26|7|OA|14|_'
4382,'D|P|28|7|PU|04|_'
4382,'D|P|29|3|PU|04|_'
4382,'D|P|30|7|PU|11|_'
4383,'D|P|26|7|VE|08|_'
4384,'D|S|26|7|ZA|01|_'
4385,'D|P|26|7|DU|11|_'
4385,'D|P|28|7|DU|11|_'
4385,'D|P|29|3|DU|11|_'
4387,'D|P|26|7|ME|12|_'
4387,'D|P|28|7|ME|11|_'
4387,'D|P|29|3|ME|11|_'
4387,'D|P|30|7|ME|21|_'
4388,'D|P|26|7|HI|12|_'
4388,'D|P|28|7|HI|12|_'
4388,'D|P|29|3|HI|12|_'
4730,'Z|_|23|A|EP|__|_'
4749,'D|S|28|7|MI|05|_'
4749,'D|S|29|3|MI|05|_'
4750,'D|S|28|7|MI|16|_'
4750,'D|S|29|8|MI|16|_'
4750,'BF|__|_|JA|38|8'
4751,'D|P|28|7|HI|09|_'
4751,'D|P|29|3|HI|09|_'
5060,'BN|81|_|CH|56|_'
5060,'BV|90|_|SO|03|_'
5060,'L|K|93|_|_|0206'
5060,'BV|95|_|CH|31|_'
5060,'BW|03|_|DF|76|1'
5060,'BH|10|_|SO|76|C'
5060,'BV|10|1|SO|02|9'
5060,'BT|10|1|SO|04|4'
5060,'L|J|10|1|_|7067'
5060,'L|M|11|5|_|2057'
5060,'BN|__|_|DU|12|5'
5060,'D|S|30|7|SI|01|_'
5061,'D|S|30|7|CA|04|_'
5062,'D|S|30|7|CP|13|_'
5071,'D|S|30|7|SO|08|_'
5072,'D|S|30|7|TA|02|_'
5073,'D|P|30|7|CH|01|_'
5246,'X|_|15|1|_|5245'
5426,'BN|43|_|ZA|24|_'
5426,'BL|59|_|ZA|__|_'
5426,'BT|60|_|ZA|70|_'
5426,'BT|63|_|__|71|_'
5426,'L|M|80|_|_|6744'
