'place_id','city_id','city'
'OA','09','Coíxtlahuaca'
'OA','10','Teotitlán'
'OA','11','Nochistlan'
'OA','12','Ixtlán'
'OA','13','Villa Alta'
'OA','14','Tlacolula'
'OA','15,'Tehuantepec'
'OA','16','Juchitán'
'OA','17','Tlaxiaco'
'OA','18','Cuicatlán'
'OA','19','Etla'
'OA','20','Sitacayoapan'
'OA','21','Tuxtepec'
'OA','22','Juquila'
'OA','23','Choapan'
'OA','24','Pinotepa Nacional'
'OA','25','San Jerónimo Ixtepec'
'OA','26','Villa de Mitla'
'OA','27','Cafeta! Unión Ibérica'
'OA','28','San Antonio Eloxochitlán'
'OA','30','Tezoatlán'
'OA','31','Ejutla'
'OA','32','Sierra de Tlaxiaco'
'OA','33','Sierra de Nochistlán'
'OA','34','Tehuantepec'
'OA','35','Yautepec, San Carlos'
'OA','36','Ixtepejí, Santa Catarina'
'OA','37','Queotepec'
'OA','38','Ojitlán'
'OA','39','Jutla'
'OA','40','Ojitlán'
'OA','41','Santa María Guihenagatí'
'OA','42','Jalapa (Santa María)'
'PU','01','Puebla distrito (1)'
'PU','02','Puebla distrito(2)'
'PU','03','Acatlán'
'PU','04','Atlixco'
'PU','05','Chalchicomula = Xalchicomula = Rincón de Arena'
'PU','06','Chiautla'
'PU','07','Cholula'
'PU','08','Huauchinango'
'PU','09','Huejotzingo'
'PU','10','Izúcar de Matamoros'
'PU','11','Libres = Oriental'
'PU','12','Tecali'
'PU','13','Tecamachalco'
'PU','14','Tehuacán'
'PU','15','Tepeaca'
'PU','16','Tepejí de Rodríguez'
'PU','17','Teziutlán'
'PU','18','Tetela de Ocampo'
'PU','19','Zacapoaxtla'
'PU','20','Zacatlán'
'PU','21','Huauchinango (2)'
'PU','22','Molcaxac'
'PU','23','Chiquahuapan'
'PU','24','Villa Juárez'
'PU','25','Huehuetlán el Chico'
'PU','26','Coxcatlán'
'PU','28','Coayuca, dto. Tepexí'
'PU','29','Fábrica de los Molinos, m. Atlixco'
'PU','30','Tehuitzingo'
'PU','31','Tlachíchuca'
'PU','32','Ometepec, m. Tetela de Ocampo'
'PU','33','San José de Ixtapan'
'PU','34','Tochimilco'
'PU','35','Aquixtla'
'PU','36','Huachinantla, m. Jalapán'
'PU','37','Huaquechula'
'PU','38','Chígnahuapan'
'PU','39','Sierra de Puebla'
'PU','40','Chietla'
'PU','41','Ayutla'
'PU','42','San Andrés Contla'
'PU','43','San Juan de los Llanos'
'PU','44','Cuautlalcingo'
'PU','45','Pahuatlán'
'PU','46','Chilchotla'
'PU','47','San Andrés Chalchicmula'
'PU','49','Teziutlán'
'PU','50','Zacatlán'
'PU','51','Acatzingo'
'PU','53','Tlapotepec'
'QU','01','Querétaro'
'QU','02','La Cañada'
'QU','03','San Juan del Rio'
'QU','04','Cadereyta Méndez'
'QU','05','Jalpan'
'QU','06','Tolimán'
'SI','01','Culiacán'
'SI','02','Mazatlán'
'SI','03','Cosalá'
'SI','04','Sinaloa'
'SI','05','Villa San Ignacio'
'SI','06','Villa Fuerte'
'SI','07','Concordia'
'SI','08','Elota'
'SI','09','Rosario'
'SI','10','Mocorito'
'SI','11','La Cruz'
